Year,Enix,Square,Square Enix,OTHER
1986,,,,2.52
1987,2.56,0.84,,1.25
1988,3.87,0.76,,1.25
1989,,1.1,,1.1
1990,3.12,1.4,,
1991,,2.91,,0.34
1992,2.79,3.42,,0.65
1993,1.15,3,,1.44
1994,,3.85,,3.26
1995,3.32,4.5,,6.44
1996,1.63,1.21,,41.12
1997,,5.65,,16.14
1998,,5.71,,22.38
1999,2.23,13.81,,33.05
2000,5.28,5.81,,17.94
2001,2.91,0.77,,18.38
2002,1.24,,,43.89
2003,0.66,2.13,1.51,25.98
2004,1.65,,8.14,44.16
2005,,,6.05,22.5
2006,,,11.84,45.89
2007,,,14.38,29.51
2008,,,6.97,52.86
2009,,,10.08,37.82
2010,,,11.34,59.18
2011,,,6.57,46.8
2012,,,2.03,45.78
2013,,,8.73,36.19
2014,,,4.34,41.52
2015,,,2.8,33.64
2016,,,2.22,4.54
2017,,,,0.04
